kernel_name,layout,use_smem,M,N,run,time_ms,bw_gbps,checksum
Ar_Br_direct,Ar_Br,0,16384,16384,85,1.794176,3590.758,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,86,1.791584,3595.952,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,87,1.793632,3591.847,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,88,1.791488,3596.145,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,89,1.792128,3594.861,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,90,1.791072,3596.980,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,91,1.793568,3591.975,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,92,1.794784,3589.541,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,93,1.792640,3593.834,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,94,1.791904,3595.310,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,95,1.794912,3589.285,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,96,1.795744,3587.622,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,97,1.792992,3593.129,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,98,1.791904,3595.310,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,99,1.791200,3596.723,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,0,1.751264,3678.743,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,1,1.747232,3687.233,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,2,1.748288,3685.005,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,3,1.746816,3688.111,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,4,1.746848,3688.043,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,5,1.746624,3688.516,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,6,1.746912,3687.908,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,7,1.748256,3685.073,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,8,1.747616,3686.422,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,9,1.746720,3688.314,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,10,1.745024,3691.898,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,11,1.745504,3690.883,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,12,1.747360,3686.963,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,13,1.746592,3688.584,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,14,1.746560,3688.651,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,15,1.745312,3691.289,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,16,1.746880,3687.976,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,17,1.744832,3692.304,40260355806.111153
