variant,blocksize,ngms,rhoc_size,nthreads,rep,time_ms
eigts_t_soa,1,55191,120000,96,65,6.882711
eigts_t_soa,1,55191,120000,96,66,6.556989
eigts_t_soa,1,55191,120000,96,67,6.966331
eigts_t_soa,1,55191,120000,96,68,7.283984
eigts_t_soa,1,55191,120000,96,69,6.969781
eigts_t_soa,1,55191,120000,96,70,7.124972
eigts_t_soa,1,55191,120000,96,71,7.331823
eigts_t_soa,1,55191,120000,96,72,7.112432
eigts_t_soa,1,55191,120000,96,73,6.558659
eigts_t_soa,1,55191,120000,96,74,6.925851
eigts_t_soa,1,55191,120000,96,75,6.582889
eigts_t_soa,1,55191,120000,96,76,6.948530
eigts_t_soa,1,55191,120000,96,77,6.570199
eigts_t_soa,1,55191,120000,96,78,7.289153
eigts_t_soa,1,55191,120000,96,79,7.022921
eigts_t_soa,1,55191,120000,96,80,7.047452
eigts_t_soa,1,55191,120000,96,81,7.094251
eigts_t_soa,1,55191,120000,96,82,7.007492
eigts_t_soa,1,55191,120000,96,83,7.312662
eigts_t_soa,1,55191,120000,96,84,7.959168
eigts_t_soa,1,55191,120000,96,85,6.924380
eigts_t_soa,1,55191,120000,96,86,6.922041
eigts_t_soa,1,55191,120000,96,87,7.416354
eigts_t_soa,1,55191,120000,96,88,6.977382
eigts_t_soa,1,55191,120000,96,89,6.896160
eigts_t_soa,1,55191,120000,96,90,7.094082
eigts_t_soa,1,55191,120000,96,91,6.990811
eigts_t_soa,1,55191,120000,96,92,7.125181
eigts_t_soa,1,55191,120000,96,93,7.120023
eigts_t_soa,1,55191,120000,96,94,6.904960
eigts_t_soa,1,55191,120000,96,95,6.507569
eigts_t_soa,1,55191,120000,96,96,6.863171
eigts_t_soa,1,55191,120000,96,97,6.464248
eigts_t_soa,1,55191,120000,96,98,7.074183
eigts_t_soa,1,55191,120000,96,99,6.929640
sorted_soa,1,55191,120000,96,0,13.608341
sorted_soa,1,55191,120000,96,1,13.564531
sorted_soa,1,55191,120000,96,2,13.559460
sorted_soa,1,55191,120000,96,3,13.666001
sorted_soa,1,55191,120000,96,4,13.555419
sorted_soa,1,55191,120000,96,5,13.559480
sorted_soa,1,55191,120000,96,6,13.648711
sorted_soa,1,55191,120000,96,7,13.561170
sorted_soa,1,55191,120000,96,8,13.544272
sorted_soa,1,55191,120000,96,9,13.558590
sorted_soa,1,55191,120000,96,10,13.525650
sorted_soa,1,55191,120000,96,11,13.556999
sorted_soa,1,55191,120000,96,12,13.555540
sorted_soa,1,55191,120000,96,13,13.574010
sorted_soa,1,55191,120000,96,14,13.547441
sorted_soa,1,55191,120000,96,15,13.621801
sorted_soa,1,55191,120000,96,16,13.558550
sorted_soa,1,55191,120000,96,17,13.570150
sorted_soa,1,55191,120000,96,18,13.595070
sorted_soa,1,55191,120000,96,19,13.620720
sorted_soa,1,55191,120000,96,20,13.575810
sorted_soa,1,55191,120000,96,21,14.674178
sorted_soa,1,55191,120000,96,22,13.598021
sorted_soa,1,55191,120000,96,23,13.559460
sorted_soa,1,55191,120000,96,24,13.766721
sorted_soa,1,55191,120000,96,25,13.587610
sorted_soa,1,55191,120000,96,26,13.600660
sorted_soa,1,55191,120000,96,27,13.592830
sorted_soa,1,55191,120000,96,28,14.147664
