target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,beta,alpha,gamma,P_NUMA
CPU_NEON,64,2,V4,omp_collapse2,klon_first,normal1,3932160,13.224686,35648.784776,459353.976494,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,normal1,983040,52.232642,9407.420420,491143.191448,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,normal1,7864320,6.611182,31879.490331,204431.914460,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_collapse2,klon_first,normal1,491520,99.462134,2521.162475,250700.013631,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,normal1,245760,198.907861,1349.934668,268239.558289,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,normal4,7864320,7.096277,60246.598508,408608.246644,1024,0.5200,2.7000,4
CPU_NEON,64,2,V4,omp_collapse2,klon_first,normal4,3932160,13.502203,34816.161385,457691.081227,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,normal4,983040,52.070532,9418.273253,490069.839295,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,normal4,7864320,6.783777,30991.478416,204301.365990,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_collapse2,klon_first,normal4,491520,99.133032,2516.528914,249425.957821,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,normal4,245760,198.246143,1347.153156,267134.318721,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,sequential,7864320,6.624976,64483.466643,410161.286965,1024,0.5200,2.7000,4
CPU_NEON,64,2,V4,omp_collapse2,klon_first,sequential,3932160,13.249951,35367.193451,458244.370872,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,sequential,983040,52.998340,9279.836115,491818.008276,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,sequential,7864320,6.312476,33206.858909,205077.692120,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_collapse2,klon_first,sequential,491520,100.990820,2479.545064,250412.610734,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,sequential,245760,201.962549,1332.605082,268968.438257,1024,0.5200,2.7000,4
