nlev,variant,cell_dist,loop_order,target,block_bytes,vector_width,mu,delta,sigma
96,1,sequential,klev_first,cpu_avx512,64,8,48.051400,56213.112558,300371.508204
96,1,sequential,klev_first,gpu_scalar,128,1,6.003097,5647.108420,40533.086963
96,1,sequential,klev_first,gpu_warp32,128,32,192.099089,88829.108238,873808.032815
96,1,sequential,klev_first,gpu_wave64,128,64,288.148633,70608.023969,1310712.049223
96,2,sequential,klon_first,cpu_scalar,64,1,3.124524,1832.976249,1954.261712
96,2,sequential,klon_first,cpu_avx512,64,8,24.967578,203.889780,1945.148704
96,2,sequential,klon_first,gpu_scalar,128,1,2.561511,992.324142,1954.261712
96,2,sequential,klon_first,gpu_warp32,128,32,80.859375,32.636166,1967.728733
96,2,sequential,klon_first,gpu_wave64,128,64,159.482031,17.987449,2010.293746
96,2,sequential,klev_first,cpu_scalar,64,1,6.006425,11241.607991,40533.087707
96,2,sequential,klev_first,cpu_avx512,64,8,48.051400,56210.646204,300371.514156
96,2,sequential,klev_first,gpu_scalar,128,1,6.003097,5646.071800,40533.087707
96,2,sequential,klev_first,gpu_warp32,128,32,192.099089,88828.870701,873808.056625
96,2,sequential,klev_first,gpu_wave64,128,64,288.148633,70607.940380,1310712.084937
96,3,sequential,klon_first,cpu_scalar,64,1,6.624976,49322.558942,187558.529997
96,3,sequential,klon_first,cpu_avx512,64,8,52.998242,8801.766480,186436.556954
96,3,sequential,klon_first,gpu_scalar,128,1,6.312476,25372.915354,187558.529997
96,3,sequential,klon_first,gpu_warp32,128,32,201.960156,1295.149416,187809.274150
96,3,sequential,klon_first,gpu_wave64,128,64,403.855469,789.031593,190754.024378
96,3,sequential,klev_first,cpu_scalar,64,1,0.756509,513.803142,1953.668643
96,3,sequential,klev_first,cpu_avx512,64,8,6.052071,4110.425133,15629.307546
96,3,sequential,klev_first,gpu_scalar,128,1,0.378254,264.311389,1953.668643
96,3,sequential,klev_first,gpu_warp32,128,32,12.104142,8539.384846,62516.659695
96,3,sequential,klev_first,gpu_wave64,128,64,18.156213,12902.545142,93774.989543
96,4,sequential,klon_first,cpu_scalar,64,1,6.624976,49198.472685,187558.672108
96,4,sequential,klon_first,cpu_avx512,64,8,52.998242,8789.940532,186437.693748
96,4,sequential,klon_first,gpu_scalar,128,1,6.312476,25343.161000,187558.672108
96,4,sequential,klon_first,gpu_warp32,128,32,201.960156,1295.159319,187813.819992
96,4,sequential,klon_first,gpu_wave64,128,64,403.855469,789.051402,190763.112511
96,4,sequential,klev_first,cpu_scalar,64,1,0.756509,512.506884,1953.669387
96,4,sequential,klev_first,cpu_avx512,64,8,6.052071,4100.055070,15629.313499
96,4,sequential,klev_first,gpu_scalar,128,1,0.378254,263.999559,1953.669387
96,4,sequential,klev_first,gpu_warp32,128,32,12.104142,8534.113967,62516.683504
96,4,sequential,klev_first,gpu_wave64,128,64,18.156213,12899.425265,93775.025257
