backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_s
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,5,0.001972224
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,6,0.001972224
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,7,0.001968128
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,8,0.001971200
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,9,0.001972224
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,0,0.003504128
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,1,0.003500032
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,2,0.003503104
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,3,0.003507200
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,4,0.003504128
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,5,0.003502080
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,6,0.003500256
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,7,0.003501888
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,8,0.003503104
gpu,2,90,81920,uniform,1x1_32x16,1,1,32,16,9,0.003509472
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,0,0.002739200
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,1,0.002732032
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,2,0.002733056
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,3,0.002734080
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,4,0.002736032
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,5,0.002732928
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,6,0.002732032
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,7,0.002733984
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,8,0.002737024
gpu,2,90,81920,uniform,1x1_32x8,1,1,32,8,9,0.002737152
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,0,0.002397184
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,1,0.002385152
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,2,0.002383872
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,3,0.002387968
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,4,0.002387968
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,5,0.002385824
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,6,0.002385728
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,7,0.002395968
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,8,0.002388992
gpu,2,90,81920,uniform,1x1_32x4,1,1,32,4,9,0.002386944
gpu,2,90,81920,uniform,2x1_32x16,2,1,32,16,0,0.003670016
gpu,2,90,81920,uniform,2x1_32x16,2,1,32,16,1,0.003661824
gpu,2,90,81920,uniform,2x1_32x16,2,1,32,16,2,0.003660704
gpu,2,90,81920,uniform,2x1_32x16,2,1,32,16,3,0.003657728
