backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,36,0.628964
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,37,0.629964
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,38,0.614883
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,39,0.642124
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,40,0.621204
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,41,0.634004
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,42,0.609243
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,43,0.645404
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,44,0.634524
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,45,0.628924
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,46,0.628804
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,47,0.631884
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,48,0.641084
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,49,0.642404
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,50,0.656004
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,51,0.633804
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,52,0.618364
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,53,0.621444
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,54,0.619323
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,55,0.636884
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,56,0.631604
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,57,0.608083
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,58,0.631084
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,59,0.625884
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,60,0.628084
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,61,0.615124
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,62,0.642284
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,63,0.622524
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,64,0.637804
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,65,0.636684
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,66,0.627804
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,67,0.629804
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,68,0.631404
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,69,0.639724
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,70,0.621764
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,71,0.622684
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,72,0.644884
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,73,0.648564
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,74,0.629684
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,75,0.637804
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,76,0.630924
