target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,delta_max,mu_delta_max,beta,alpha,gamma,P_NUMA
GPU_warp32,128,32,V3,omp_collapse2,klon_first,normal4,245760,198.246159,1380.780600,319551.740634,16759.612500,3322362.454687,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,sequential,7864320,6.312476,33242.802323,239256.199158,145030.273074,915566.481973,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,uniform,983040,7.052059,9244.582933,119447.996220,32361.818928,246805.598285,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_for,klev_first,uniform,3932160,1.763015,2311.145733,29861.999055,8090.454732,61701.399571,64,0.1600,2.0000,4
GPU_warp32,128,32,V3,omp_collapse2,klon_first,sequential,245760,201.962565,1366.464469,321926.235780,16919.097656,3416702.889844,64,0.1600,2.0000,4
GPU_halfw,128,16,V4,omp_for,klev_first,uniform,491520,7.052059,9501.946444,119447.482312,32361.805579,236593.152674,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_for,klev_first,uniform,245760,14.104118,19190.276084,477778.894841,64723.557743,926249.755024,64,0.1600,2.0000,4
CPU_scalar,64,1,V4,omp_for,klev_first,uniform,7864320,0.881507,1155.572867,14930.999527,4045.227366,30850.699786,64,0.1600,2.0000,4
GPU_halfw,128,16,V4,omp_for,klev_first,normal1,491520,6.942769,4824.531040,59590.054802,24069.317973,173371.031329,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,normal1,983040,6.942769,4694.378442,59590.330461,24069.331210,180830.434459,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_for,klev_first,uniform,7864320,0.440754,593.871653,7465.467644,2022.612849,14787.072042,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_for,klev_first,normal1,245760,13.885539,9744.254557,238353.998782,48138.582979,678492.209663,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_for,klev_first,normal1,3932160,1.735692,1173.594611,14897.582615,6017.332803,45207.608615,64,0.1600,2.0000,4
CPU_scalar,64,1,V4,omp_for,klev_first,normal1,7864320,0.867846,586.797305,7448.791308,3008.666401,22603.804307,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,normal4,983040,6.941549,4694.330991,59604.602471,24069.275599,180702.655795,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_for,klev_first,normal1,7864320,0.433923,301.533190,3724.378425,1504.332373,10835.689458,64,0.1600,2.0000,4
GPU_halfw,128,16,V4,omp_for,klev_first,normal4,491520,6.941549,4823.941483,59604.176466,24069.262061,173282.983848,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_for,klev_first,normal4,245760,13.883097,9742.430039,238410.463133,48138.469950,678219.202013,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_for,klev_first,normal4,3932160,1.735387,1173.582748,14901.150618,6017.318900,45175.663949,64,0.1600,2.0000,4
