nlev,variant,cell_dist,loop_order,target,block_bytes,vector_width,mu,W,delta_raw,delta_max,delta_uma,delta_numa,mu_delta_raw,mu_delta_uma,mu_delta_numa,sigma,cost_uma,cost_numa,ref_SL,ref_RL,ref_SR,ref_RR,ref_cost,span,W_delta,beta,alpha,gamma,P_NUMA,T
96,1,sequential,klon_first,gpu_scalar,128,1,2.561646,12.999817,993.128562,2209.007346,993.128562,993.157584,2135.832013,2135.832013,2136.163191,34176.269660,2.561639,2.749137,6.359563,2.390437,5.015628,0.234372,3.003115,245765.371746,12910.489461,1,0.0124,1.8000,4,7864320
96,1,sequential,klon_first,gpu_warp32,128,32,80.843359,82.629688,32.817363,3052.874114,32.817363,33.010774,2655.247070,2655.247070,2671.090654,42578.574528,80.842025,86.841928,0.000142,8.749858,0.000085,5.249915,18.199707,246975.553060,2711.688486,1,0.0124,1.8000,4,245760
96,1,sequential,klon_first,gpu_wave64,128,64,159.377344,163.489844,18.104175,3074.350288,18.104175,18.458347,2893.661882,2893.661882,2951.010749,46612.978776,159.372071,171.371681,0.000285,8.749715,0.000171,5.249829,18.199415,247014.851880,2959.848792,1,0.0124,1.8000,4,122880
96,2,uniform,klon_first,cpu_scalar,64,1,4.998877,11.999780,1954.693762,4301.503343,1954.693762,1954.754956,8532.286307,8532.286307,8533.020611,68262.206700,4.998871,5.373869,4.156718,4.593282,4.593753,0.656247,5.928603,489852.016910,23455.895651,1,0.0124,1.8000,4,7864320
96,2,uniform,klon_first,cpu_avx512,64,8,39.928613,39.976172,255.509389,5670.547519,255.509389,255.658230,10201.828569,10201.828569,10207.702995,81645.957711,39.928457,42.928444,0.000426,8.749574,0.000021,5.249979,18.199541,491268.717955,10214.287264,1,0.0124,1.8000,4,983040
96,2,uniform,klon_first,gpu_scalar,128,1,4.497803,11.999561,1022.425444,2249.183084,1022.425444,1022.456040,4265.912822,4265.912822,4266.279938,68258.520970,4.497797,4.685295,4.454021,4.295979,4.921878,0.328122,5.051686,244926.007419,12268.656018,1,0.0124,1.8000,4,7864320
96,2,uniform,klon_first,gpu_warp32,128,32,141.649219,143.191016,37.090784,3337.663799,37.090784,37.235824,5253.068066,5253.068066,5273.558936,84267.623910,141.646952,147.646855,0.001314,8.748686,0.000085,5.249915,18.198550,245746.357385,5311.067086,1,0.0124,1.8000,4,245760
96,2,uniform,klon_first,gpu_wave64,128,64,278.671094,284.865625,20.337511,3366.656375,20.337511,20.606893,5677.478092,5677.478092,5753.405241,91649.400391,278.661964,290.661573,0.001847,8.748153,0.000171,5.249829,18.197872,245767.643823,5793.457813,1,0.0124,1.8000,4,122880
96,2,normal_var1,klon_first,cpu_scalar,64,1,3.169592,11.260925,1819.399477,4017.674483,1819.399477,1819.465852,4252.785315,4252.785315,4253.519618,34026.198761,3.169586,3.544585,5.805559,2.944441,4.593753,0.656247,4.300208,488987.904977,20488.121585,1,0.0124,1.8000,4,7864320
96,2,normal_var1,klon_first,cpu_avx512,64,8,24.966211,26.617090,205.753892,4539.808144,205.753892,205.980581,5135.631075,5135.631075,5141.505501,41116.378105,24.966102,27.966090,0.278161,8.471839,0.000021,5.249979,17.925251,491002.448568,5476.569834,1,0.0124,1.8000,4,983040
96,2,normal_var1,klon_first,gpu_scalar,128,1,2.584814,11.129028,986.494196,2178.000742,986.494196,986.527374,2126.298795,2126.298795,2126.665910,34024.696523,2.584808,2.772307,6.276750,2.473250,4.921878,0.328122,3.251558,244493.952303,10978.721847,1,0.0124,1.8000,4,7864320
96,2,normal_var1,klon_first,gpu_warp32,128,32,80.878906,83.241406,32.937783,2926.608407,32.937783,33.185880,2667.122054,2667.122054,2687.612923,42892.501628,80.877556,86.877458,0.000924,8.749076,0.000085,5.249915,18.198936,245709.025667,2741.787373,1,0.0124,1.8000,4,245760
96,2,normal_var1,klon_first,gpu_wave64,128,64,159.544531,164.128125,18.403883,2947.385303,18.403883,18.868624,2949.004395,2949.004395,3024.931543,47993.878841,159.539195,171.538804,0.000285,8.749715,0.000171,5.249829,18.199415,245748.719865,3020.594881,1,0.0124,1.8000,4,122880
96,2,normal_var4,klon_first,cpu_scalar,64,1,3.267639,11.347107,1761.217716,3879.826283,1761.217716,1761.283915,4270.813680,4270.813680,4271.547983,34170.425677,3.267633,3.642632,5.558647,3.191353,4.593753,0.656247,4.544058,488984.725845,19984.725761,1,0.0124,1.8000,4,7864320
96,2,normal_var4,klon_first,cpu_avx512,64,8,24.967383,26.785840,204.674744,4537.577238,204.674744,204.901403,5109.494450,5109.494450,5115.368876,40907.285103,24.967274,27.967262,0.413512,8.336488,0.000021,5.249979,17.791577,490997.027984,5482.384902,1,0.0124,1.8000,4,983040
96,2,normal_var4,klon_first,gpu_scalar,128,1,2.632471,11.175061,974.336343,2146.569326,974.336343,974.369429,2135.291658,2135.291658,2135.658773,34168.582330,2.632465,2.819963,6.152678,2.597322,4.921878,0.328122,3.374092,244492.362904,10888.268098,1,0.0124,1.8000,4,7864320
96,2,normal_var4,klon_first,gpu_warp32,128,32,80.853125,83.403125,32.762823,2925.483896,32.762823,33.010955,2652.252637,2652.252637,2672.743506,42654.590951,80.851775,86.851677,0.000533,8.749467,0.000085,5.249915,18.199322,245707.128682,2732.521828,1,0.0124,1.8000,4,245760
96,2,normal_var4,klon_first,gpu_wave64,128,64,159.369531,164.238281,18.502949,2945.996371,18.502949,18.971270,2957.732943,2957.732943,3033.660091,48133.536589,159.364259,171.363868,0.000285,8.749715,0.000171,5.249829,18.199415,245747.726733,3038.892515,1,0.0124,1.8000,4,122880
96,2,sequential,klon_first,cpu_scalar,64,1,3.124658,10.999951,1835.612887,4031.585034,1835.612887,1835.683051,4272.050938,4272.050938,4272.785241,34180.323748,3.124653,3.499651,5.906328,2.843672,4.593753,0.656247,4.200689,488981.812561,20191.652123,1,0.0124,1.8000,4,7864320
96,2,sequential,klon_first,cpu_avx512,64,8,24.965918,25.990137,203.244599,4541.500746,203.244599,203.475324,5074.763066,5074.763066,5080.637492,40629.434058,24.965813,27.965801,0.000622,8.749378,0.000021,5.249979,18.199348,491003.452961,5282.354910,1,0.0124,1.8000,4,983040
96,2,sequential,klon_first,gpu_scalar,128,1,2.561646,10.999817,992.604563,2181.227805,992.604563,992.639643,2135.891909,2135.891909,2136.259025,34178.186358,2.561640,2.749138,6.328313,2.421687,4.921878,0.328122,3.200635,244490.905825,10918.468446,1,0.0124,1.8000,4,7864320
96,2,sequential,klon_first,gpu_warp32,128,32,80.843359,82.629688,32.911330,2926.382007,32.911330,33.161120,2662.992546,2662.992546,2683.483415,42826.429736,80.842025,86.841928,0.000142,8.749858,0.000085,5.249915,18.199707,245709.357422,2719.452880,1,0.0124,1.8000,4,245760
96,2,sequential,klon_first,gpu_wave64,128,64,159.377344,163.489844,18.294402,2946.223584,18.294402,18.762710,2924.625684,2924.625684,3000.552832,47603.820443,159.372071,171.371681,0.000285,8.749715,0.000171,5.249829,18.199415,245749.169531,2990.948977,1,0.0124,1.8000,4,122880
96,2,uniform,klon_first,cpu_scalar,64,1,4.998877,11.999780,1954.693762,4301.503343,1954.693762,1954.754956,8532.286307,8532.286307,8533.020611,68262.206700,4.998871,5.373869,4.156718,4.593282,4.593753,0.656247,5.928603,489852.016910,23455.895651,1,0.0124,1.8000,4,7864320
96,2,uniform,klon_first,cpu_avx512,64,8,39.928613,39.976172,255.509389,5670.547519,255.509389,255.658230,10201.828569,10201.828569,10207.702995,81645.957711,39.928457,42.928444,0.000426,8.749574,0.000021,5.249979,18.199541,491268.717955,10214.287264,1,0.0124,1.8000,4,983040
96,2,uniform,klon_first,gpu_scalar,128,1,4.497803,11.999561,1022.425444,2249.183084,1022.425444,1022.456040,4265.912822,4265.912822,4266.279938,68258.520970,4.497797,4.685295,4.454021,4.295979,4.921878,0.328122,5.051686,244926.007419,12268.656018,1,0.0124,1.8000,4,7864320
96,2,uniform,klon_first,gpu_warp32,128,32,141.649219,143.191016,37.090784,3337.663799,37.090784,37.235824,5253.068066,5253.068066,5273.558936,84267.623910,141.646952,147.646855,0.001314,8.748686,0.000085,5.249915,18.198550,245746.357385,5311.067086,1,0.0124,1.8000,4,245760
96,2,uniform,klon_first,gpu_wave64,128,64,278.671094,284.865625,20.337511,3366.656375,20.337511,20.606893,5677.478092,5677.478092,5753.405241,91649.400391,278.661964,290.661573,0.001847,8.748153,0.000171,5.249829,18.197872,245767.643823,5793.457813,1,0.0124,1.8000,4,122880
96,2,normal_var1,klon_first,cpu_scalar,64,1,3.169592,11.260925,1819.399477,4017.674483,1819.399477,1819.465852,4252.785315,4252.785315,4253.519618,34026.198761,3.169586,3.544585,5.805559,2.944441,4.593753,0.656247,4.300208,488987.904977,20488.121585,1,0.0124,1.8000,4,7864320
96,2,normal_var1,klon_first,cpu_avx512,64,8,24.966211,26.617090,205.753892,4539.808144,205.753892,205.980581,5135.631075,5135.631075,5141.505501,41116.378105,24.966102,27.966090,0.278161,8.471839,0.000021,5.249979,17.925251,491002.448568,5476.569834,1,0.0124,1.8000,4,983040
96,2,normal_var1,klon_first,gpu_scalar,128,1,2.584814,11.129028,986.494196,2178.000742,986.494196,986.527374,2126.298795,2126.298795,2126.665910,34024.696523,2.584808,2.772307,6.276750,2.473250,4.921878,0.328122,3.251558,244493.952303,10978.721847,1,0.0124,1.8000,4,7864320
96,2,normal_var1,klon_first,gpu_warp32,128,32,80.878906,83.241406,32.937783,2926.608407,32.937783,33.185880,2667.122054,2667.122054,2687.612923,42892.501628,80.877556,86.877458,0.000924,8.749076,0.000085,5.249915,18.198936,245709.025667,2741.787373,1,0.0124,1.8000,4,245760
96,2,normal_var1,klon_first,gpu_wave64,128,64,159.544531,164.128125,18.403883,2947.385303,18.403883,18.868624,2949.004395,2949.004395,3024.931543,47993.878841,159.539195,171.538804,0.000285,8.749715,0.000171,5.249829,18.199415,245748.719865,3020.594881,1,0.0124,1.8000,4,122880
96,2,normal_var4,klon_first,cpu_scalar,64,1,3.267639,11.347107,1761.217716,3879.826283,1761.217716,1761.283915,4270.813680,4270.813680,4271.547983,34170.425677,3.267633,3.642632,5.558647,3.191353,4.593753,0.656247,4.544058,488984.725845,19984.725761,1,0.0124,1.8000,4,7864320
96,2,normal_var4,klon_first,cpu_avx512,64,8,24.967383,26.785840,204.674744,4537.577238,204.674744,204.901403,5109.494450,5109.494450,5115.368876,40907.285103,24.967274,27.967262,0.413512,8.336488,0.000021,5.249979,17.791577,490997.027984,5482.384902,1,0.0124,1.8000,4,983040
96,2,normal_var4,klon_first,gpu_scalar,128,1,2.632471,11.175061,974.336343,2146.569326,974.336343,974.369429,2135.291658,2135.291658,2135.658773,34168.582330,2.632465,2.819963,6.152678,2.597322,4.921878,0.328122,3.374092,244492.362904,10888.268098,1,0.0124,1.8000,4,7864320
96,2,normal_var4,klon_first,gpu_warp32,128,32,80.853125,83.403125,32.762823,2925.483896,32.762823,33.010955,2652.252637,2652.252637,2672.743506,42654.590951,80.851775,86.851677,0.000533,8.749467,0.000085,5.249915,18.199322,245707.128682,2732.521828,1,0.0124,1.8000,4,245760
96,2,normal_var4,klon_first,gpu_wave64,128,64,159.369531,164.238281,18.502949,2945.996371,18.502949,18.971270,2957.732943,2957.732943,3033.660091,48133.536589,159.364259,171.363868,0.000285,8.749715,0.000171,5.249829,18.199415,245747.726733,3038.892515,1,0.0124,1.8000,4,122880
96,2,sequential,klon_first,cpu_scalar,64,1,3.124658,10.999951,1835.612887,4031.585034,1835.612887,1835.683051,4272.050938,4272.050938,4272.785241,34180.323748,3.124653,3.499651,5.906328,2.843672,4.593753,0.656247,4.200689,488981.812561,20191.652123,1,0.0124,1.8000,4,7864320
96,2,sequential,klon_first,cpu_avx512,64,8,24.965918,25.990137,203.244599,4541.500746,203.244599,203.475324,5074.763066,5074.763066,5080.637492,40629.434058,24.965813,27.965801,0.000622,8.749378,0.000021,5.249979,18.199348,491003.452961,5282.354910,1,0.0124,1.8000,4,983040
96,2,sequential,klon_first,gpu_scalar,128,1,2.561646,10.999817,992.604563,2181.227805,992.604563,992.639643,2135.891909,2135.891909,2136.259025,34178.186358,2.561640,2.749138,6.328313,2.421687,4.921878,0.328122,3.200635,244490.905825,10918.468446,1,0.0124,1.8000,4,7864320
96,2,sequential,klon_first,gpu_warp32,128,32,80.843359,82.629688,32.911330,2926.382007,32.911330,33.161120,2662.992546,2662.992546,2683.483415,42826.429736,80.842025,86.841928,0.000142,8.749858,0.000085,5.249915,18.199707,245709.357422,2719.452880,1,0.0124,1.8000,4,245760
96,2,sequential,klon_first,gpu_wave64,128,64,159.377344,163.489844,18.294402,2946.223584,18.294402,18.762710,2924.625684,2924.625684,3000.552832,47603.820443,159.372071,171.371681,0.000285,8.749715,0.000171,5.249829,18.199415,245749.169531,2990.948977,1,0.0124,1.8000,4,122880
96,3,uniform,klev_first,cpu_scalar,64,1,0.881510,14.000000,1157.576084,24013.943749,1157.576084,1852.407327,8531.257527,8531.257527,13651.755280,68250.080984,0.881503,1.181398,10.494403,0.506635,2.624094,0.374869,1.370098,816963.255349,16206.065174,1,0.0124,1.8000,4,7864320
96,3,uniform,klev_first,cpu_avx512,64,8,7.052083,14.000000,9260.608671,192111.549989,9260.608671,14819.258619,68250.060217,68250.060217,109214.042241,546000.647876,7.052027,9.451186,6.947959,4.053078,0.000014,2.998948,9.537340,816963.255349,129648.521396,1,0.0124,1.8000,4,983040
96,3,uniform,klev_first,gpu_scalar,128,1,0.440755,14.000000,594.134495,6186.145211,594.134495,950.727682,4265.607956,4265.607956,6825.844348,68249.747993,0.440748,0.590695,10.747723,0.253315,2.811529,0.187433,0.786720,408481.627637,8317.882929,1,0.0124,1.8000,4,7864320
96,3,uniform,klev_first,gpu_warp32,128,32,14.104167,21.000000,19188.516745,104676.398025,19188.516745,30705.527734,272989.141569,272989.141569,436840.273486,4367826.925602,14.103829,18.902078,6.896004,4.105033,0.000057,2.998905,9.588575,408482.132886,402958.851652,1,0.0124,1.8000,4,245760
96,3,uniform,klev_first,gpu_wave64,128,64,28.312305,35.000000,57953.050020,127545.099249,57953.050020,92736.952410,1637870.612402,1637870.612402,2620939.051563,26205931.769678,28.310617,37.906593,6.688013,4.313025,0.000183,2.998779,9.793763,408482.153894,2028356.750690,1,0.0124,1.8000,4,81920
96,3,normal_var1,klev_first,cpu_scalar,64,1,0.867848,13.890698,586.990675,12233.312990,586.990675,938.941916,4251.643024,4251.643024,6800.521100,34013.164961,0.867841,1.017858,11.805825,0.693980,1.312672,0.187523,1.207213,734843.442523,8153.710606,1,0.0124,1.8000,4,7864320
96,3,normal_var1,klev_first,cpu_avx512,64,8,6.942782,13.890698,4695.925397,97866.503919,4695.925397,7511.535325,34013.144194,34013.144194,54404.168804,272105.319686,6.942725,8.142864,6.947964,5.551840,0.000009,1.500186,8.338330,734843.442523,65229.684848,1,0.0124,1.8000,4,983040
96,3,normal_var1,klev_first,gpu_scalar,128,1,0.433924,13.890698,301.287261,3151.100575,301.287261,481.947307,2125.803841,2125.803841,3400.236626,34012.882144,0.433917,0.508925,12.152818,0.346987,1.406434,0.093761,0.697843,367421.721222,4185.090556,1,0.0124,1.8000,4,7864320
96,3,normal_var1,klev_first,gpu_warp32,128,32,13.885563,20.781396,9731.322595,53311.171778,9731.322595,15566.470863,136042.188875,136042.188875,217603.886623,2176675.682503,13.885226,16.285460,6.896025,5.603780,0.000037,1.500159,8.389577,367422.223828,202230.482015,1,0.0124,1.8000,4,245760
96,3,normal_var1,klev_first,gpu_wave64,128,64,25.507520,34.562793,32395.602867,71527.309567,32395.602867,51816.802306,816196.542676,816196.542676,1305547.520078,13059146.654053,25.505832,30.306027,7.117200,5.382605,0.000110,1.500085,8.171015,367422.234253,1119682.596154,1,0.0124,1.8000,4,81920
96,3,normal_var4,klev_first,cpu_scalar,64,1,0.867695,13.889478,589.567881,12236.181803,589.567881,943.358539,4269.612706,4269.612706,6832.511791,34156.922414,0.867688,1.017730,11.805611,0.693949,1.312886,0.187554,1.207240,734541.431277,8188.788336,1,0.0124,1.8000,4,7864320
