backend,variant,nlev,nproma,cell_dist,blocking,parallelization,run_id,time_ms
cpu,2,90,81920,uniform,0,omp_for,1,1.910534000
cpu,2,90,81920,uniform,0,omp_for,2,2.142336000
cpu,2,90,81920,uniform,0,omp_for,3,2.118586000
cpu,2,90,81920,uniform,0,omp_for,4,2.077004000
cpu,2,90,81920,uniform,0,omp_for,5,2.015245000
cpu,2,90,81920,uniform,0,omp_for,6,2.142936000
cpu,2,90,81920,uniform,0,omp_for,7,2.098636000
cpu,2,90,81920,uniform,0,omp_for,8,2.131215000
cpu,2,90,81920,uniform,0,omp_for,9,2.042985000
cpu,2,90,81920,uniform,0,omp_for,10,2.109986000
cpu,2,90,81920,uniform,0,omp_for,11,2.160085000
cpu,2,90,81920,uniform,0,omp_for,12,2.042945000
cpu,2,90,81920,uniform,0,omp_for,13,2.103006000
cpu,2,90,81920,uniform,0,omp_for,14,2.291247000
cpu,2,90,81920,uniform,0,omp_for,15,2.263217000
cpu,2,90,81920,uniform,0,omp_for,16,2.270427000
cpu,2,90,81920,uniform,0,omp_for,17,2.254717000
cpu,2,90,81920,uniform,0,omp_for,18,2.156845000
cpu,2,90,81920,uniform,0,omp_for,19,2.145226000
cpu,2,90,81920,uniform,0,omp_for,20,2.227957000
cpu,2,90,81920,uniform,0,omp_for,21,2.145066000
cpu,2,90,81920,uniform,0,omp_for,22,2.056654000
cpu,2,90,81920,uniform,0,omp_for,23,2.039575000
cpu,2,90,81920,uniform,0,omp_for,24,2.126086000
cpu,2,90,81920,uniform,0,omp_for,25,2.062415000
cpu,2,90,81920,uniform,0,omp_for,26,2.131046000
cpu,2,90,81920,uniform,0,omp_for,27,2.113775000
cpu,2,90,81920,uniform,0,omp_for,28,2.052836000
cpu,2,90,81920,uniform,0,omp_for,29,2.229866000
cpu,2,90,81920,uniform,0,omp_for,30,2.063915000
cpu,2,90,81920,uniform,0,omp_for,31,2.116476000
cpu,2,90,81920,uniform,0,omp_for,32,2.121006000
cpu,2,90,81920,uniform,0,omp_for,33,2.030704000
cpu,2,90,81920,uniform,0,omp_for,34,2.085316000
cpu,2,90,81920,uniform,0,omp_for,35,2.156036000
cpu,2,90,81920,uniform,0,omp_for,36,2.136576000
cpu,2,90,81920,uniform,0,omp_for,37,2.065455000
cpu,2,90,81920,uniform,0,omp_for,38,2.138936000
cpu,2,90,81920,uniform,0,omp_for,39,2.114566000
cpu,2,90,81920,uniform,0,omp_for,40,2.089395000
