stencil,variant,N,tsteps,BX,BY,TX,TY,PAD,med_time_s,std_time_s,min_gflops,med_gflops,max_gflops,eff_bw_gbs,pct_attainable,pct_peak_bw
box4,smem_pad,16384,100,32,8,2,1,2,0.002242,0.000035,1913.24,1915.80,2007.71,1916.6,51.5,51.5
box4,smem_swap,16384,100,32,8,2,1,0,0.002256,0.000029,1902.21,1903.95,1982.89,1904.7,51.2,51.2
box4,global,16384,100,16,16,2,1,0,0.002490,0.000014,1664.32,1725.05,1725.96,1725.7,46.4,46.4
box4,smem,16384,100,16,16,2,1,0,0.002190,0.000034,1958.04,1961.27,2060.23,1962.1,52.7,52.7
box4,smem_pad,16384,100,16,16,2,1,1,0.002711,0.000007,1552.78,1584.53,1585.73,1585.0,42.6,42.6
box4,smem_pad,16384,100,16,16,2,1,2,0.002221,0.000035,1930.77,1933.67,2031.26,1934.7,52.0,52.0
box4,smem_swap,16384,100,16,16,2,1,0,0.002190,0.000031,1958.53,1961.24,2059.66,1962.1,52.7,52.7
box4,global,16384,100,32,4,2,1,0,0.002493,0.000010,1671.89,1722.52,1723.81,1723.7,46.3,46.3
box4,smem,16384,100,32,4,2,1,0,0.002164,0.000063,1953.82,1984.75,2164.94,1985.7,53.3,53.3
box4,smem_pad,16384,100,32,4,2,1,1,0.002680,0.000024,1568.79,1602.77,1637.78,1603.4,43.1,43.1
box4,smem_pad,16384,100,32,4,2,1,2,0.002186,0.000076,1943.35,1964.86,2199.68,1965.7,52.8,52.8
box4,smem_swap,16384,100,32,4,2,1,0,0.002165,0.000065,1953.42,1983.84,2155.73,1984.8,53.3,53.3
box4,global,16384,100,32,8,1,2,0,0.001617,0.000054,2618.83,2656.38,2909.18,2657.4,71.4,71.4
box4,smem,16384,100,32,8,1,2,0,0.001916,0.000032,2238.45,2241.44,2361.66,2242.7,60.2,60.3
box4,smem_pad,16384,100,32,8,1,2,1,0.001939,0.000033,2210.07,2214.83,2336.99,2216.1,59.5,59.5
box4,smem_pad,16384,100,32,8,1,2,2,0.001940,0.000039,2212.00,2214.45,2340.49,2215.6,59.5,59.5
box4,smem_swap,16384,100,32,8,1,2,0,0.001926,0.000041,2225.61,2230.48,2377.77,2231.1,60.0,59.9
box4,global,16384,100,16,16,1,2,0,0.001720,0.000059,2460.27,2497.45,2734.23,2498.3,67.1,67.1
box4,smem,16384,100,16,16,1,2,0,0.002015,0.000033,2110.31,2131.51,2225.72,2132.5,57.3,57.3
box4,smem_pad,16384,100,16,16,1,2,1,0.002054,0.000035,2064.19,2090.83,2199.10,2091.5,56.2,56.2
box4,smem_pad,16384,100,16,16,1,2,2,0.002062,0.000038,2067.18,2083.16,2200.80,2083.9,56.0,56.0
box4,smem_swap,16384,100,16,16,1,2,0,0.002020,0.000034,2112.37,2126.22,2233.95,2127.3,57.1,57.1
box4,global,16384,100,16,8,2,2,0,0.002438,0.000013,1699.43,1761.64,1763.15,1762.5,47.3,47.4
box4,smem,16384,100,16,8,2,2,0,0.001976,0.000038,2138.35,2172.99,2288.61,2174.1,58.4,58.4
box4,smem_pad,16384,100,16,8,2,2,1,0.001987,0.000063,2102.74,2161.04,2374.82,2162.6,58.1,58.1
box4,smem_pad,16384,100,16,8,2,2,2,0.001990,0.000065,2120.61,2158.24,2373.60,2159.3,58.0,58.0
box4,smem_swap,16384,100,16,8,2,2,0,0.001980,0.000031,2133.35,2169.16,2265.05,2170.2,58.3,58.3
box4,global,16384,100,32,4,2,2,0,0.002448,0.000010,1706.45,1754.31,1755.10,1755.3,47.2,47.2
box4,smem,16384,100,32,4,2,2,0,0.001991,0.000057,2122.19,2156.89,2348.72,2158.2,58.0,58.0
box4,smem_pad,16384,100,32,4,2,2,1,0.002004,0.000078,2112.17,2143.35,2395.55,2144.2,57.6,57.6
box4,smem_pad,16384,100,32,4,2,2,2,0.002002,0.000065,2121.95,2144.77,2381.82,2145.9,57.6,57.6
box4,smem_swap,16384,100,32,4,2,2,0,0.002001,0.000054,2122.59,2145.96,2338.25,2146.9,57.7,57.7
box4,global,16384,100,32,4,4,1,0,0.004625,0.000002,924.85,928.58,928.78,929.1,25.0,25.0
box4,smem,16384,100,32,4,4,1,0,0.003240,0.000009,1297.10,1325.74,1326.24,1326.3,35.6,35.6
box4,smem_pad,16384,100,32,4,4,1,1,0.004737,0.000008,892.77,906.77,906.97,907.1,24.4,24.4
box4,smem_pad,16384,100,32,4,4,1,2,0.003247,0.000015,1282.00,1322.60,1322.98,1323.4,35.5,35.6
box4,smem_swap,16384,100,32,4,4,1,0,0.003240,0.000011,1289.18,1325.61,1326.42,1326.3,35.6,35.6
box4,global,16384,100,16,8,4,1,0,0.004622,0.000004,922.95,929.22,929.77,929.7,25.0,25.0
box4,smem,16384,100,16,8,4,1,0,0.003129,0.000014,1336.01,1372.49,1373.27,1373.3,36.9,36.9
box4,smem_pad,16384,100,16,8,4,1,1,0.004649,0.000008,916.34,923.79,924.06,924.3,24.8,24.8
box4,smem_pad,16384,100,16,8,4,1,2,0.003143,0.000010,1331.79,1366.33,1367.46,1367.2,36.7,36.7
box4,smem_swap,16384,100,16,8,4,1,0,0.003129,0.000019,1328.51,1372.85,1373.27,1373.5,36.9,36.9
box4,global,16384,100,32,4,1,4,0,0.001628,0.000046,2622.77,2638.63,2851.39,2640.3,70.9,70.9
box4,smem,16384,100,32,4,1,4,0,0.001697,0.000078,2485.61,2530.67,2872.38,2532.2,68.0,68.0
box4,smem_pad,16384,100,32,4,1,4,1,0.001705,0.000078,2494.66,2519.13,2862.27,2520.3,67.7,67.7
box4,smem_pad,16384,100,32,4,1,4,2,0.001705,0.000078,2454.07,2518.98,2836.39,2520.3,67.7,67.7
box4,smem_swap,16384,100,32,4,1,4,0,0.001698,0.000075,2488.83,2529.81,2879.28,2530.7,68.0,68.0
box4,global,16384,100,16,4,4,2,0,0.004714,0.000010,896.98,911.07,911.51,911.6,24.5,24.5
box4,smem,16384,100,16,4,4,2,0,0.003223,0.000006,1313.85,1332.44,1332.91,1333.2,35.8,35.8
box4,smem_pad,16384,100,16,4,4,2,1,0.003247,0.000013,1282.59,1322.80,1323.24,1323.4,35.6,35.6
box4,smem_pad,16384,100,16,4,4,2,2,0.003242,0.000013,1288.13,1324.82,1325.48,1325.4,35.6,35.6
box4,smem_swap,16384,100,16,4,4,2,0,0.003222,0.000007,1309.53,1333.03,1333.72,1333.7,35.8,35.8
box4,global,16384,100,8,8,4,4,0,0.005639,0.000077,755.11,761.68,803.29,762.0,20.5,20.5
box4,smem,16384,100,8,8,4,4,0,0.003156,0.000012,1323.35,1360.88,1361.50,1361.6,36.6,36.6
box4,smem_pad,16384,100,8,8,4,4,1,0.003181,0.000011,1312.21,1350.31,1351.04,1350.9,36.3,36.3
box4,smem_pad,16384,100,8,8,4,4,2,0.003181,0.000009,1319.51,1350.20,1350.90,1350.9,36.3,36.3
box4,smem_swap,16384,100,8,8,4,4,0,0.003807,0.000006,1124.55,1128.11,1133.89,1128.7,30.3,30.3
