P,layout,med_gbps,p5_gbps,p95_gbps,spread_pct,n_base,cycles,instructions,L1D-access,L1D-refill,L1D-writeback,L2D-access,L2D-refill,L2D-writeback,mem-access,bus-access,L1D-TLB-access,L1D-TLB-refill,L2D-TLB-access,L2D-TLB-refill,stall-backend
18,AoS,740.76,471.44,751.07,37.7,7456256,1534.810439,9985.705131,3145.714693,0.666883,1.981751,4.036475,0.002929,1.875589,2904.173545,7.701045,3005.105501,0.002890,0.003034,0.000016,291.668071
18,SoA,568.11,546.83,574.78,4.9,7456256,1544.152602,10331.358461,3256.215717,10.405905,6.039393,21.420045,0.034877,1.000949,2987.360787,4.112010,3096.282605,0.002472,0.012005,0.000018,264.076710
18,AoSoA-16,1420.19,411.14,1458.84,73.8,7456256,1445.548745,9881.159942,3111.606152,0.946353,1.024887,2.171453,0.010548,0.983936,2867.770117,4.002726,2964.077594,0.002873,0.003009,0.000014,224.064285
18,AoSoA-64,1130.80,359.34,1146.49,69.6,7456256,1475.628773,9949.590996,3123.702986,0.899824,1.021708,2.178068,0.035610,1.276392,2883.914054,5.437305,2992.368954,0.002890,0.002963,0.000016,241.272680
18,AoSoA-128,1149.57,681.46,1172.92,42.8,7456256,1474.231969,9952.638084,3121.117415,0.883865,1.019743,2.162213,0.042030,1.237364,2890.647990,5.280250,2996.309943,0.002905,0.002985,0.000015,238.632736
18,AoSoA-512,1213.86,1189.02,1231.45,3.5,7456256,1451.471754,9815.965755,3086.381315,0.694446,1.024337,2.287376,0.072323,1.081766,2865.215585,4.839594,2969.349116,0.002820,0.002924,0.000018,230.595111
21,AoS,741.82,205.38,750.03,73.4,6391296,1804.908198,11744.267824,3694.368096,0.739114,2.304548,4.741893,0.003515,2.206904,3433.362939,8.986240,3559.321461,0.003419,0.003560,0.000020,337.505905
21,SoA,1141.59,552.62,1181.11,55.1,6391296,1700.958675,11611.991342,3659.600701,17.023946,8.059700,35.022582,0.064248,1.162164,3387.346827,4.751286,3529.656631,0.002992,0.051731,0.000020,252.730444
21,AoSoA-16,1422.26,259.39,1447.17,83.5,6391296,1699.546348,11605.402669,3653.661571,1.109411,1.186473,2.537052,0.012182,1.142218,3383.939155,4.696115,3517.335271,0.003329,0.003451,0.000018,260.876499
21,AoSoA-64,1133.26,254.68,1145.95,78.6,6391296,1726.407176,11586.151008,3644.880389,1.041488,1.196386,2.553997,0.041430,1.486785,3385.777381,6.359875,3519.626750,0.003362,0.003473,0.000020,280.583504
21,AoSoA-128,1162.66,811.24,1189.69,32.6,6391296,1692.125775,11388.278800,3585.970129,1.045052,1.189887,2.525712,0.046590,1.440278,3322.576267,6.101928,3454.561406,0.003380,0.003454,0.000019,275.044431
21,AoSoA-512,1207.88,319.61,1227.13,75.1,6391296,1689.611674,11439.797636,3594.698305,0.805451,1.195371,2.681329,0.083534,1.249848,3345.743682,5.679366,3478.710518,0.003333,0.003415,0.000023,267.554957
