layout,run,ms,gbps
AoSoA-4,36,2.551079,841.79
AoSoA-4,37,2.538919,845.83
AoSoA-4,38,2.541065,845.11
AoSoA-4,39,2.537012,846.46
AoSoA-4,40,2.529144,849.09
AoSoA-4,41,2.559900,838.89
AoSoA-4,42,2.561092,838.50
AoSoA-4,43,2.528906,849.18
AoSoA-4,44,2.534866,847.18
AoSoA-4,45,2.530813,848.54
AoSoA-4,46,2.547979,842.82
AoSoA-4,47,3.429890,626.11
AoSoA-4,48,2.527952,849.50
AoSoA-4,49,2.539873,845.51
AoSoA-4,50,8.121014,264.44
AoSoA-4,51,2.547979,842.82
AoSoA-4,52,2.532959,847.82
AoSoA-4,53,2.550840,841.87
AoSoA-4,54,2.520084,852.15
AoSoA-4,55,2.527952,849.50
AoSoA-4,56,2.530813,848.54
AoSoA-4,57,2.539158,845.75
AoSoA-4,58,2.546787,843.21
AoSoA-4,59,2.574921,834.00
AoSoA-4,60,2.524137,850.78
AoSoA-4,61,3.752947,572.21
AoSoA-4,62,2.532005,848.14
AoSoA-4,63,2.526045,850.14
AoSoA-4,64,2.542019,844.79
AoSoA-4,65,2.547026,843.13
AoSoA-4,66,2.534866,847.18
AoSoA-4,67,2.537012,846.46
AoSoA-4,68,2.546072,843.45
AoSoA-4,69,2.637863,814.10
AoSoA-4,70,2.573013,834.62
AoSoA-4,71,2.601862,825.36
AoSoA-4,72,2.717018,790.38
AoSoA-4,73,2.563953,837.57
AoSoA-4,74,2.521038,851.83
AoSoA-4,75,2.534866,847.18
AoSoA-4,76,3.916979,548.25
AoSoA-4,77,2.546072,843.45
AoSoA-4,78,2.552986,841.17
AoSoA-4,79,2.541065,845.11
AoSoA-4,80,2.558947,839.21
AoSoA-4,81,2.546072,843.45
AoSoA-4,82,2.520084,852.15
AoSoA-4,83,2.526999,849.82
AoSoA-4,84,8.284092,259.23
AoSoA-4,85,2.547026,843.13
AoSoA-4,86,2.528906,849.18
AoSoA-4,87,2.531052,848.46
AoSoA-4,88,2.592802,828.25
AoSoA-4,89,2.534866,847.18
AoSoA-4,90,2.568007,836.25
AoSoA-4,91,2.523184,851.10
AoSoA-4,92,2.553940,840.85
AoSoA-4,93,2.537966,846.14
AoSoA-4,94,4.858971,441.96
AoSoA-4,95,2.521992,851.50
AoSoA-4,96,2.571106,835.24
AoSoA-4,97,2.550125,842.11
AoSoA-4,98,2.568007,836.25
AoSoA-4,99,2.532959,847.82
AoSoA-8,0,1.694918,1267.01
AoSoA-8,1,1.722097,1247.02
AoSoA-8,2,1.689196,1271.31
AoSoA-8,3,1.657009,1296.00
AoSoA-8,4,1.657009,1296.00
AoSoA-8,5,1.771212,1212.44
AoSoA-8,6,1.646996,1303.88
AoSoA-8,7,1.629829,1317.61
AoSoA-8,8,1.636028,1312.62
AoSoA-8,9,1.622915,1323.23
AoSoA-8,10,1.665115,1289.69
AoSoA-8,11,1.663923,1290.61
AoSoA-8,12,1.646996,1303.88
AoSoA-8,13,1.647949,1303.12
AoSoA-8,14,3.995895,537.42
AoSoA-8,15,1.657009,1296.00
AoSoA-8,16,1.636028,1312.62
AoSoA-8,17,1.672029,1284.36
AoSoA-8,18,1.627922,1319.16
AoSoA-8,19,1.646042,1304.63
AoSoA-8,20,1.626015,1320.70
AoSoA-8,21,1.631021,1316.65
AoSoA-8,22,1.612186,1332.03
AoSoA-8,23,1.612902,1331.44
AoSoA-8,24,1.624107,1322.25
AoSoA-8,25,1.625061,1321.48
AoSoA-8,26,1.657963,1295.25
AoSoA-8,27,1.622200,1323.81
AoSoA-8,28,1.600027,1342.15
AoSoA-8,29,1.611948,1332.23
AoSoA-8,30,1.630068,1317.42
AoSoA-8,31,1.667976,1287.48
AoSoA-8,32,1.636028,1312.62
AoSoA-8,33,1.621008,1324.78
AoSoA-8,34,1.620770,1324.98
AoSoA-8,35,1.606941,1336.38
AoSoA-8,36,1.645088,1305.39
AoSoA-8,37,1.609087,1334.60
AoSoA-8,38,1.621962,1324.00
AoSoA-8,39,1.635075,1313.39
AoSoA-8,40,1.634836,1313.58
AoSoA-8,41,1.602888,1339.76
AoSoA-8,42,1.613855,1330.65
AoSoA-8,43,1.634121,1314.15
AoSoA-8,44,1.628876,1318.38
AoSoA-8,45,1.603127,1339.56
AoSoA-8,46,1.610994,1333.02
AoSoA-8,47,1.600981,1341.36
AoSoA-8,48,1.616955,1328.10
AoSoA-8,49,7.697821,278.97
AoSoA-8,50,1.619816,1325.76
AoSoA-8,51,1.609087,1334.60
AoSoA-8,52,1.612902,1331.44
AoSoA-8,53,1.629114,1318.19
AoSoA-8,54,1.637936,1311.09
AoSoA-8,55,1.636028,1312.62
AoSoA-8,56,3.245115,661.76
AoSoA-8,57,1.632214,1315.69
AoSoA-8,58,1.606941,1336.38
AoSoA-8,59,1.606941,1336.38
AoSoA-8,60,1.605988,1337.17
AoSoA-8,61,1.636982,1311.86
AoSoA-8,62,1.626968,1319.93
AoSoA-8,63,1.611948,1332.23
AoSoA-8,64,3.887177,552.45
AoSoA-8,65,1.615763,1329.08
AoSoA-8,66,1.613140,1331.24
AoSoA-8,67,1.612902,1331.44
AoSoA-8,68,1.607895,1335.59
AoSoA-8,69,1.594067,1347.17
AoSoA-8,70,1.624107,1322.25
AoSoA-8,71,1.591921,1348.99
AoSoA-8,72,1.603127,1339.56
AoSoA-8,73,1.605988,1337.17
AoSoA-8,74,1.624107,1322.25
AoSoA-8,75,1.601934,1340.56
AoSoA-8,76,1.612902,1331.44
AoSoA-8,77,1.616955,1328.10
AoSoA-8,78,1.620054,1325.56
AoSoA-8,79,1.600027,1342.15
AoSoA-8,80,1.596928,1344.76
AoSoA-8,81,1.638889,1310.33
AoSoA-8,82,1.601934,1340.56
AoSoA-8,83,1.609087,1334.60
AoSoA-8,84,1.621008,1324.78
AoSoA-8,85,1.600981,1341.36
AoSoA-8,86,2.833128,757.99
AoSoA-8,87,1.606941,1336.38
AoSoA-8,88,1.606941,1336.38
AoSoA-8,89,1.628160,1318.96
AoSoA-8,90,1.594067,1347.17
AoSoA-8,91,1.602173,1340.36
AoSoA-8,92,1.604080,1338.76
AoSoA-8,93,1.599789,1342.35
AoSoA-8,94,1.626968,1319.93
AoSoA-8,95,1.606941,1336.38
AoSoA-8,96,1.630068,1317.42
AoSoA-8,97,1.615047,1329.67
AoSoA-8,98,7.737875,277.53
AoSoA-8,99,1.627922,1319.16
AoSoA-16,0,1.687050,1272.92
AoSoA-16,1,1.587152,1353.04
AoSoA-16,2,1.603842,1338.96
AoSoA-16,3,1.574993,1363.49
AoSoA-16,4,1.699924,1263.28
AoSoA-16,5,1.585007,1354.87
AoSoA-16,6,1.572847,1365.35
AoSoA-16,7,1.572847,1365.35
AoSoA-16,8,7.879019,272.56
AoSoA-16,9,2.876997,746.43
AoSoA-16,10,1.528978,1404.52
AoSoA-16,11,1.510859,1421.37
AoSoA-16,12,1.509905,1422.26
AoSoA-16,13,1.480103,1450.90
AoSoA-16,14,1.519918,1412.89
AoSoA-16,15,1.448870,1482.18
AoSoA-16,16,1.455069,1475.86
AoSoA-16,17,1.418114,1514.32
AoSoA-16,18,1.400948,1532.88
AoSoA-16,19,1.365900,1572.21
AoSoA-16,20,1.361132,1577.72
AoSoA-16,21,1.344919,1596.74
AoSoA-16,22,1.351118,1589.41
AoSoA-16,23,1.291037,1663.38
AoSoA-16,24,1.313925,1634.40
AoSoA-16,25,1.282930,1673.89
AoSoA-16,26,1.288891,1666.15
AoSoA-16,27,1.307964,1641.85
AoSoA-16,28,1.258135,1706.88
AoSoA-16,29,1.263142,1700.11
AoSoA-16,30,1.265049,1697.55
AoSoA-16,31,1.246929,1722.22
AoSoA-16,32,1.236916,1736.16
AoSoA-16,33,1.222849,1756.13
AoSoA-16,34,1.226902,1750.33
AoSoA-16,35,1.225948,1751.69
AoSoA-16,36,1.216888,1764.73
AoSoA-16,37,1.199007,1791.05
AoSoA-16,38,1.221895,1757.50
AoSoA-16,39,1.208067,1777.62
AoSoA-16,40,1.193047,1800.00
AoSoA-16,41,1.207113,1779.02
AoSoA-16,42,1.183033,1815.24
AoSoA-16,43,1.178026,1822.95
AoSoA-16,44,1.187086,1809.04
AoSoA-16,45,1.187086,1809.04
AoSoA-16,46,1.187086,1809.04
AoSoA-16,47,1.183033,1815.24
AoSoA-16,48,1.179934,1820.00
AoSoA-16,49,1.167059,1840.08
AoSoA-16,50,1.160145,1851.05
AoSoA-16,51,1.174212,1828.87
AoSoA-16,52,1.194000,1798.56
AoSoA-16,53,1.188993,1806.14
AoSoA-16,54,1.153946,1860.99
AoSoA-16,55,1.193047,1800.00
AoSoA-16,56,1.178026,1822.95
AoSoA-16,57,1.153946,1860.99
AoSoA-16,58,1.152992,1862.53
AoSoA-16,59,2.441883,879.44
AoSoA-16,60,1.161098,1849.53
AoSoA-16,61,1.174927,1827.76
AoSoA-16,62,1.161098,1849.53
AoSoA-16,63,1.145840,1874.16
AoSoA-16,64,1.167774,1838.95
AoSoA-16,65,1.149893,1867.55
AoSoA-16,66,6.932020,309.79
AoSoA-16,67,1.178980,1821.48
AoSoA-16,68,1.172066,1832.22
AoSoA-16,69,1.201153,1787.85
AoSoA-16,70,1.160145,1851.05
AoSoA-16,71,1.150846,1866.00
AoSoA-16,72,1.167059,1840.08
AoSoA-16,73,1.163960,1844.98
AoSoA-16,74,1.179934,1820.00
AoSoA-16,75,1.157999,1854.48
AoSoA-16,76,1.171112,1833.71
AoSoA-16,77,1.161098,1849.53
AoSoA-16,78,1.159906,1851.43
AoSoA-16,79,1.173973,1829.24
AoSoA-16,80,1.173019,1830.73
AoSoA-16,81,1.168966,1837.08
AoSoA-16,82,1.149893,1867.55
AoSoA-16,83,1.173973,1829.24
AoSoA-16,84,1.155853,1857.92
AoSoA-16,85,1.152992,1862.53
AoSoA-16,86,1.160860,1849.91
AoSoA-16,87,1.166821,1840.46
AoSoA-16,88,1.157999,1854.48
AoSoA-16,89,1.170158,1835.21
AoSoA-16,90,1.173973,1829.24
AoSoA-16,91,1.167059,1840.08
AoSoA-16,92,1.167059,1840.08
AoSoA-16,93,1.174927,1827.76
AoSoA-16,94,1.162052,1848.01
AoSoA-16,95,1.183987,1813.77
AoSoA-16,96,1.171112,1833.71
AoSoA-16,97,1.166105,1841.59
AoSoA-16,98,1.168013,1838.58
AoSoA-16,99,1.162052,1848.01
AoSoA-32,0,1.338005,1604.99
AoSoA-32,1,1.440048,1491.26
AoSoA-32,2,1.316071,1631.74
AoSoA-32,3,1.332998,1611.02
AoSoA-32,4,1.334906,1608.72
AoSoA-32,5,1.346111,1595.32
AoSoA-32,6,1.548052,1387.22
AoSoA-32,7,1.313925,1634.40
AoSoA-32,8,1.374006,1562.94
AoSoA-32,9,1.378059,1558.34
AoSoA-32,10,1.357794,1581.60
AoSoA-32,11,3.817081,562.60
AoSoA-32,12,1.355886,1583.82
AoSoA-32,13,1.346111,1595.32
AoSoA-32,14,1.371145,1566.20
AoSoA-32,15,1.453876,1477.07
AoSoA-32,16,1.330853,1613.62
AoSoA-32,17,1.325130,1620.58
AoSoA-32,18,1.324892,1620.87
AoSoA-32,19,1.331091,1613.33
AoSoA-32,20,1.406908,1526.39
AoSoA-32,21,1.306057,1644.25
AoSoA-32,22,1.313925,1634.40
AoSoA-32,23,1.294851,1658.48
AoSoA-32,24,1.355886,1583.82
AoSoA-32,25,1.368999,1568.65
AoSoA-32,26,1.300097,1651.79
AoSoA-32,27,1.322031,1624.38
AoSoA-32,28,1.302004,1649.37
AoSoA-32,29,1.299143,1653.00
AoSoA-32,30,1.398802,1535.23
AoSoA-32,31,1.301050,1650.58
AoSoA-32,32,1.337051,1606.13
AoSoA-32,33,1.330853,1613.62
AoSoA-32,34,1.307964,1641.85
AoSoA-32,35,1.346111,1595.32
AoSoA-32,36,1.322031,1624.38
AoSoA-32,37,1.283884,1672.65
AoSoA-32,38,1.318932,1628.20
AoSoA-32,39,2.308130,930.40
AoSoA-32,40,1.365900,1572.21
AoSoA-32,41,1.286983,1668.62
AoSoA-32,42,1.281023,1676.38
AoSoA-32,43,1.325846,1619.71
AoSoA-32,44,1.301050,1650.58
AoSoA-32,45,1.359940,1579.10
AoSoA-32,46,1.274109,1685.48
AoSoA-32,47,1.282930,1673.89
AoSoA-32,48,1.256943,1708.50
AoSoA-32,49,1.266003,1696.27
AoSoA-32,50,1.250982,1716.64
AoSoA-32,51,1.340151,1602.42
AoSoA-32,52,1.318932,1628.20
AoSoA-32,53,1.293898,1659.70
AoSoA-32,54,1.310110,1639.16
AoSoA-32,55,1.262903,1700.43
AoSoA-32,56,1.305819,1644.55
AoSoA-32,57,1.313925,1634.40
AoSoA-32,58,1.333952,1609.87
AoSoA-32,59,1.308918,1640.66
AoSoA-32,60,1.281977,1675.13
AoSoA-32,61,1.296997,1655.74
AoSoA-32,62,2.624989,818.09
AoSoA-32,63,1.322031,1624.38
AoSoA-32,64,1.303196,1647.86
AoSoA-32,65,1.251936,1715.33
AoSoA-32,66,1.286983,1668.62
AoSoA-32,67,1.278877,1679.19
AoSoA-32,68,2.836943,756.97
AoSoA-32,69,1.269817,1691.18
AoSoA-32,70,1.305103,1645.45
AoSoA-32,71,1.277924,1680.45
AoSoA-32,72,1.283884,1672.65
AoSoA-32,73,1.291037,1663.38
AoSoA-32,74,1.273870,1685.79
AoSoA-32,75,1.285076,1671.09
AoSoA-32,76,1.291037,1663.38
AoSoA-32,77,1.226902,1750.33
AoSoA-32,78,1.271009,1689.59
AoSoA-32,79,1.238823,1733.49
AoSoA-32,80,1.243114,1727.50
AoSoA-32,81,2.495050,860.70
AoSoA-32,82,1.287937,1667.38
AoSoA-32,83,1.285076,1671.09
AoSoA-32,84,1.273155,1686.74
AoSoA-32,85,1.271963,1688.32
AoSoA-32,86,1.266956,1694.99
AoSoA-32,87,1.279831,1677.94
AoSoA-32,88,1.253128,1713.70
AoSoA-32,89,1.238108,1734.49
AoSoA-32,90,1.231194,1744.23
AoSoA-32,91,1.296043,1656.95
AoSoA-32,92,1.280069,1677.63
AoSoA-32,93,1.266003,1696.27
AoSoA-32,94,1.247883,1720.90
AoSoA-32,95,1.307011,1643.05
AoSoA-32,96,1.300812,1650.88
AoSoA-32,97,1.316071,1631.74
AoSoA-32,98,1.266003,1696.27
AoSoA-32,99,1.240015,1731.82
AoSoA-64,0,1.586914,1353.25
AoSoA-64,1,1.718998,1249.26
AoSoA-64,2,1.579046,1359.99
AoSoA-64,3,1.577854,1361.02
AoSoA-64,4,1.567125,1370.33
AoSoA-64,5,1.691103,1269.87
AoSoA-64,6,1.564026,1373.05
AoSoA-64,7,1.549959,1385.51
AoSoA-64,8,1.563072,1373.89
AoSoA-64,9,1.697063,1265.41
AoSoA-64,10,1.540899,1393.66
AoSoA-64,11,1.534939,1399.07
AoSoA-64,12,1.595974,1345.56
AoSoA-64,13,1.549006,1386.36
AoSoA-64,14,1.597166,1344.56
AoSoA-64,15,1.556873,1379.36
AoSoA-64,16,1.539946,1394.52
AoSoA-64,17,1.554966,1381.05
AoSoA-64,18,1.530886,1402.77
AoSoA-64,19,1.563787,1373.26
AoSoA-64,20,1.540184,1394.30
AoSoA-64,21,1.533985,1399.94
AoSoA-64,22,1.529217,1404.30
AoSoA-64,23,1.604080,1338.76
AoSoA-64,24,1.534939,1399.07
