Running on nid005694
Threads: 288
Building GPU (nvcc)
Loading data...

=== GPU SWEEP: variant x tblock x coarsen x unroll ===
variant                            tblock   cf  median_ms ok
gpu_shared_bec_aos                    128   16    10.9753 PASS
gpu_shared_bec_aos_u                  128   16     5.1329 PASS
gpu_optimized_aos                     128   16     8.3367 PASS
gpu_optimized_aos_u                   128   16     8.3013 PASS
gpu_baseline_soa                      128   16    11.0067 PASS
gpu_baseline_soa_u                    128   16    10.9863 PASS
gpu_eigts_t_soa                       128   16    10.9861 PASS
gpu_eigts_t_soa_u                     128   16     9.2404 PASS
gpu_shared_bec_soa                    128   16     8.6034 PASS
gpu_shared_bec_soa_u                  128   16     6.7175 PASS
gpu_optimized_soa                     128   16     9.9820 PASS
gpu_optimized_soa_u                   128   16     7.5771 PASS
gpu_baseline_aos                      256    1     0.7245 PASS
gpu_baseline_aos_u                    256    1     0.7243 PASS
gpu_eigts_t_aos                       256    1     0.7151 PASS
gpu_eigts_t_aos_u                     256    1     0.7141 PASS
gpu_shared_bec_aos                    256    1     0.6800 PASS
gpu_shared_bec_aos_u                  256    1     0.6806 PASS
gpu_optimized_aos                     256    1     1.3921 PASS
gpu_optimized_aos_u                   256    1     1.3922 PASS
gpu_baseline_soa                      256    1     0.6486 PASS
gpu_baseline_soa_u                    256    1     0.6485 PASS
gpu_eigts_t_soa                       256    1     0.6132 PASS
gpu_eigts_t_soa_u                     256    1     0.6134 PASS
gpu_shared_bec_soa                    256    1     0.7176 PASS
gpu_shared_bec_soa_u                  256    1     0.7184 PASS
gpu_optimized_soa                     256    1     2.3276 PASS
gpu_optimized_soa_u                   256    1     2.3260 PASS
gpu_baseline_aos                      256    2     1.4685 PASS
gpu_baseline_aos_u                    256    2     1.2771 PASS
gpu_eigts_t_aos                       256    2     1.3856 PASS
gpu_eigts_t_aos_u                     256    2     1.3804 PASS
gpu_shared_bec_aos                    256    2     1.2106 PASS
gpu_shared_bec_aos_u                  256    2     1.2098 PASS
gpu_optimized_aos                     256    2     1.5795 PASS
gpu_optimized_aos_u                   256    2     1.5724 PASS
gpu_baseline_soa                      256    2     1.2510 PASS
gpu_baseline_soa_u                    256    2     1.4104 PASS
gpu_eigts_t_soa                       256    2     1.2344 PASS
gpu_eigts_t_soa_u                     256    2     1.4975 PASS
gpu_shared_bec_soa                    256    2     1.0006 PASS
gpu_shared_bec_soa_u                  256    2     1.2183 PASS
gpu_optimized_soa                     256    2     2.4340 PASS
gpu_optimized_soa_u                   256    2     2.4413 PASS
gpu_baseline_aos                      256    4     3.0721 PASS
gpu_baseline_aos_u                    256    4     2.7994 PASS
gpu_eigts_t_aos                       256    4     2.9232 PASS
gpu_eigts_t_aos_u                     256    4     2.9527 PASS
gpu_shared_bec_aos                    256    4     2.5493 PASS
gpu_shared_bec_aos_u                  256    4     2.9459 PASS
gpu_optimized_aos                     256    4     2.2530 PASS
gpu_optimized_aos_u                   256    4     1.5837 PASS
gpu_baseline_soa                      256    4     2.5664 PASS
gpu_baseline_soa_u                    256    4     3.0150 PASS
gpu_eigts_t_soa                       256    4     2.5631 PASS
gpu_eigts_t_soa_u                     256    4     2.2510 PASS
gpu_shared_bec_soa                    256    4     2.0451 PASS
gpu_shared_bec_soa_u                  256    4     3.0000 PASS
gpu_optimized_soa                     256    4     2.9968 PASS
gpu_optimized_soa_u                   256    4     2.4102 PASS
gpu_baseline_aos                      256    8     6.2277 PASS
gpu_baseline_aos_u                    256    8     5.1370 PASS
gpu_eigts_t_aos                       256    8     5.9258 PASS
gpu_eigts_t_aos_u                     256    8     6.0208 PASS
gpu_shared_bec_aos                    256    8     5.7881 PASS
gpu_shared_bec_aos_u                  256    8     4.8625 PASS
gpu_optimized_aos                     256    8     4.3471 PASS
gpu_optimized_aos_u                   256    8     3.0825 PASS
gpu_baseline_soa                      256    8     5.4670 PASS
gpu_baseline_soa_u                    256    8     6.6384 PASS
gpu_eigts_t_soa                       256    8     5.4520 PASS
gpu_eigts_t_soa_u                     256    8     5.0013 PASS
gpu_shared_bec_soa                    256    8     4.3436 PASS
gpu_shared_bec_soa_u                  256    8     3.5918 PASS
gpu_optimized_soa                     256    8     5.8310 PASS
gpu_optimized_soa_u                   256    8     4.8799 PASS
gpu_baseline_aos                      256   16    11.8827 PASS
gpu_baseline_aos_u                    256   16     7.7420 PASS
gpu_eigts_t_aos                       256   16    11.2946 PASS
gpu_eigts_t_aos_u                     256   16     9.4332 PASS
gpu_shared_bec_aos                    256   16    11.0203 PASS
gpu_shared_bec_aos_u                  256   16     5.7158 PASS
gpu_optimized_aos                     256   16     9.0629 PASS
gpu_optimized_aos_u                   256   16     8.9922 PASS
gpu_baseline_soa                      256   16    11.9208 PASS
gpu_baseline_soa_u                    256   16    11.9071 PASS
gpu_eigts_t_soa                       256   16    11.8804 PASS
gpu_eigts_t_soa_u                     256   16    10.4584 PASS
gpu_shared_bec_soa                    256   16     9.7731 PASS
gpu_shared_bec_soa_u                  256   16     8.6803 PASS
gpu_optimized_soa                     256   16    11.6809 PASS
gpu_optimized_soa_u                   256   16     9.1931 PASS
gpu_baseline_aos                      512    1     0.7253 PASS
gpu_baseline_aos_u                    512    1     0.7245 PASS
gpu_eigts_t_aos                       512    1     0.7129 PASS
gpu_eigts_t_aos_u                     512    1     0.7130 PASS
gpu_shared_bec_aos                    512    1     0.6801 PASS
gpu_shared_bec_aos_u                  512    1     0.6806 PASS
gpu_optimized_aos                     512    1     1.3965 PASS
gpu_optimized_aos_u                   512    1     1.3983 PASS
gpu_baseline_soa                      512    1     0.6508 PASS
gpu_baseline_soa_u                    512    1     0.6504 PASS
gpu_eigts_t_soa                       512    1     0.6148 PASS
gpu_eigts_t_soa_u                     512    1     0.6159 PASS
gpu_shared_bec_soa                    512    1     0.7225 PASS
gpu_shared_bec_soa_u                  512    1     0.7211 PASS
gpu_optimized_soa                     512    1     2.4203 PASS
gpu_optimized_soa_u                   512    1     2.4204 PASS
gpu_baseline_aos                      512    2     1.5032 PASS
gpu_baseline_aos_u                    512    2     1.3047 PASS
gpu_eigts_t_aos                       512    2     1.4190 PASS
gpu_eigts_t_aos_u                     512    2     1.4111 PASS
gpu_shared_bec_aos                    512    2     1.2374 PASS
gpu_shared_bec_aos_u                  512    2     1.2382 PASS
gpu_optimized_aos                     512    2     1.7261 PASS
gpu_optimized_aos_u                   512    2     1.7123 PASS
gpu_baseline_soa                      512    2     1.2794 PASS
gpu_baseline_soa_u                    512    2     1.4546 PASS
gpu_eigts_t_soa                       512    2     1.2675 PASS
gpu_eigts_t_soa_u                     512    2     1.5453 PASS
gpu_shared_bec_soa                    512    2     1.0304 PASS
gpu_shared_bec_soa_u                  512    2     1.2467 PASS
gpu_optimized_soa                     512    2     2.8820 PASS
gpu_optimized_soa_u                   512    2     2.9083 PASS
gpu_baseline_aos                      512    4     3.1264 PASS
gpu_baseline_aos_u                    512    4     2.8558 PASS
gpu_eigts_t_aos                       512    4     2.9705 PASS
gpu_eigts_t_aos_u                     512    4     2.9980 PASS
gpu_shared_bec_aos                    512    4     2.6018 PASS
gpu_shared_bec_aos_u                  512    4     2.9932 PASS
gpu_optimized_aos                     512    4     2.9079 PASS
gpu_optimized_aos_u                   512    4     2.4196 PASS
gpu_baseline_soa                      512    4     2.6785 PASS
gpu_baseline_soa_u                    512    4     3.1203 PASS
gpu_eigts_t_soa                       512    4     2.6796 PASS
gpu_eigts_t_soa_u                     512    4     2.4005 PASS
gpu_shared_bec_soa                    512    4     2.2135 PASS
gpu_shared_bec_soa_u                  512    4     3.0849 PASS
gpu_optimized_soa                     512    4     4.7284 PASS
gpu_optimized_soa_u                   512    4     4.4732 PASS
gpu_baseline_aos                      512    8     6.5490 PASS
gpu_baseline_aos_u                    512    8     5.6287 PASS
gpu_eigts_t_aos                       512    8     6.2603 PASS
gpu_eigts_t_aos_u                     512    8     6.3497 PASS
gpu_shared_bec_aos                    512    8     6.0976 PASS
gpu_shared_bec_aos_u                  512    8     5.3579 PASS
gpu_optimized_aos                     512    8     5.1351 PASS
gpu_optimized_aos_u                   512    8     4.1552 PASS
gpu_baseline_soa                      512    8     6.0215 PASS
gpu_baseline_soa_u                    512    8     7.0913 PASS
gpu_eigts_t_soa                       512    8     6.0059 PASS
gpu_eigts_t_soa_u                     512    8     5.7290 PASS
gpu_shared_bec_soa                    512    8     5.0694 PASS
gpu_shared_bec_soa_u                  512    8     4.7479 PASS
gpu_optimized_soa                     512    8     7.9342 PASS
gpu_optimized_soa_u                   512    8     7.2147 PASS
gpu_baseline_aos                      512   16    12.5844 PASS
gpu_baseline_aos_u                    512   16     9.3568 PASS
gpu_eigts_t_aos                       512   16    12.0469 PASS
gpu_eigts_t_aos_u                     512   16    10.5629 PASS
gpu_shared_bec_aos                    512   16    11.7661 PASS
gpu_shared_bec_aos_u                  512   16     8.3656 PASS
gpu_optimized_aos                     512   16    10.2276 PASS
gpu_optimized_aos_u                   512   16    10.0515 PASS
gpu_baseline_soa                      512   16    16.4906 PASS
gpu_baseline_soa_u                    512   16    16.3648 PASS
gpu_eigts_t_soa                       512   16    16.3880 PASS
gpu_eigts_t_soa_u                     512   16    16.1972 PASS
gpu_shared_bec_soa                    512   16    15.7385 PASS
gpu_shared_bec_soa_u                  512   16    15.6988 PASS
gpu_optimized_soa                     512   16    15.4508 PASS
gpu_optimized_soa_u                   512   16    13.7371 PASS
gpu_baseline_aos                     1024    1     0.7539 PASS
gpu_baseline_aos_u                   1024    1     0.7549 PASS
gpu_eigts_t_aos                      1024    1     0.7443 PASS
gpu_eigts_t_aos_u                    1024    1     0.7435 PASS
gpu_shared_bec_aos                   1024    1     0.7073 PASS
gpu_shared_bec_aos_u                 1024    1     0.7068 PASS
gpu_optimized_aos                    1024    1     1.7380 PASS
gpu_optimized_aos_u                  1024    1     1.7417 PASS
gpu_baseline_soa                     1024    1     0.6903 PASS
gpu_baseline_soa_u                   1024    1     0.6902 PASS
gpu_eigts_t_soa                      1024    1     0.6445 PASS
gpu_eigts_t_soa_u                    1024    1     0.6444 PASS
gpu_shared_bec_soa                   1024    1     0.7491 PASS
gpu_shared_bec_soa_u                 1024    1     0.7488 PASS
gpu_optimized_soa                    1024    1     3.2761 PASS
gpu_optimized_soa_u                  1024    1     3.2681 PASS
gpu_baseline_aos                     1024    2     1.5628 PASS
gpu_baseline_aos_u                   1024    2     1.3796 PASS
gpu_eigts_t_aos                      1024    2     1.4775 PASS
gpu_eigts_t_aos_u                    1024    2     1.4714 PASS
gpu_shared_bec_aos                   1024    2     1.3029 PASS
gpu_shared_bec_aos_u                 1024    2     1.3025 PASS
gpu_optimized_aos                    1024    2     3.3502 PASS
gpu_optimized_aos_u                  1024    2     3.3771 PASS
gpu_baseline_soa                     1024    2     1.3656 PASS
gpu_baseline_soa_u                   1024    2     1.5922 PASS
gpu_eigts_t_soa                      1024    2     1.3908 PASS
gpu_eigts_t_soa_u                    1024    2     1.6881 PASS
gpu_shared_bec_soa                   1024    2     1.1294 PASS
gpu_shared_bec_soa_u                 1024    2     1.3261 PASS
gpu_optimized_soa                    1024    2     5.9875 PASS
gpu_optimized_soa_u                  1024    2     6.0149 PASS
gpu_baseline_aos                     1024    4     3.3897 PASS
gpu_baseline_aos_u                   1024    4     3.1861 PASS
gpu_eigts_t_aos                      1024    4     3.2669 PASS
gpu_eigts_t_aos_u                    1024    4     3.2921 PASS
gpu_shared_bec_aos                   1024    4     2.9239 PASS
gpu_shared_bec_aos_u                 1024    4     3.2380 PASS
gpu_optimized_aos                    1024    4     4.1718 PASS
gpu_optimized_aos_u                  1024    4     4.0249 PASS
gpu_baseline_soa                     1024    4     3.1073 PASS
gpu_baseline_soa_u                   1024    4     3.6059 PASS
gpu_eigts_t_soa                      1024    4     3.1866 PASS
gpu_eigts_t_soa_u                    1024    4     3.0466 PASS
gpu_shared_bec_soa                   1024    4     2.6976 PASS
gpu_shared_bec_soa_u                 1024    4     3.3428 PASS
gpu_optimized_soa                    1024    4     8.3624 PASS
gpu_optimized_soa_u                  1024    4     7.4793 PASS
gpu_baseline_aos                     1024    8     8.7581 PASS
gpu_baseline_aos_u                   1024    8     8.7231 PASS
gpu_eigts_t_aos                      1024    8     8.7244 PASS
gpu_eigts_t_aos_u                    1024    8     8.7357 PASS
gpu_shared_bec_aos                   1024    8     8.3261 PASS
gpu_shared_bec_aos_u                 1024    8     0.0050 FAIL
gpu_optimized_aos                    1024    8     8.1712 PASS
gpu_optimized_aos_u                  1024    8     7.6181 PASS
gpu_baseline_soa                     1024    8     9.3788 PASS
gpu_baseline_soa_u                   1024    8     9.9048 PASS
gpu_eigts_t_soa                      1024    8     9.3721 PASS
gpu_eigts_t_soa_u                    1024    8     9.4377 PASS
gpu_shared_bec_soa                   1024    8     8.8228 PASS
gpu_shared_bec_soa_u                 1024    8     0.0050 FAIL
gpu_optimized_soa                    1024    8    15.3638 PASS
gpu_optimized_soa_u                  1024    8    14.1740 PASS
gpu_baseline_aos                     1024   16    17.4441 PASS
gpu_baseline_aos_u                   1024   16    17.3909 PASS
gpu_eigts_t_aos                      1024   16    17.3822 PASS
gpu_eigts_t_aos_u                    1024   16    17.3611 PASS
gpu_shared_bec_aos                   1024   16    16.6846 PASS
gpu_shared_bec_aos_u                 1024   16     0.0050 FAIL
gpu_optimized_aos                    1024   16    14.1206 PASS
gpu_optimized_aos_u                  1024   16    13.9629 PASS
gpu_baseline_soa                     1024   16    32.1116 PASS
gpu_baseline_soa_u                   1024   16    32.0748 PASS
gpu_eigts_t_soa                      1024   16    32.0200 PASS
gpu_eigts_t_soa_u                    1024   16    31.9737 PASS
gpu_shared_bec_soa                   1024   16    31.1781 PASS
gpu_shared_bec_soa_u                 1024   16     0.0050 FAIL
gpu_optimized_soa                    1024   16    27.2990 PASS
gpu_optimized_soa_u                  1024   16    25.0413 PASS

Done. CSV: addusxx_gpu_sweep.csv
